,title,body,rating,product
190,Good for moderate gaming and just amazing for day to day or office work,I got this mouse for myself to play pubg mobile in emulator the muse is very clicky and tacktile it helps me getting higher kills in the game,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
191,Good one at perfect price,It is very good according to its price and compared with hp mouse which is cost at 349  it is bigger and wire quality better feel promising  for moving mouse you feel heavy but hp was light,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
192,Smooth and perfect for office use,"Finally, I bought this mouse after a long thought and was surprised to see the quality. Much beyond expectations. Working like a charm",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
193,mouse stopped working within 3 months,"This has stopped within 3 months ,after 5 minutes it laptop is not able to detect the mouse . Mouse stopped taking power supply from the laptop.This is expected from Dell brand",1.0,Dell MS116 1000DPI USB Wired Optical Mouse
194,Stopped working in 1.5 months.,Bought the mouse on 30tg November and it stopped working in less than 40 days..please don't buy this product from Amazon rather buy from a local shop who will atleast take care of the guarantee for 1 year...,2.0,Dell MS116 1000DPI USB Wired Optical Mouse
195,Good product,I'm writing this review after using it for almost 2 years. I'm still using it. Happy with the purchase,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
196,Expecting the best from this mouse,"Very nice and compact mouse. Of course it is Dell, so i hope i don't need to worry about quality. Will update review after usage.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
197,Casual mouse not for gaming,This is a good mouse but it's not good for gaming. You can't click fast like other mouse. But the click action is good.,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
198,Easy to hold nice product. Made in china :-(,Good. Easy to hold. Comfortable. It's made in China. :-(,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
199,THis is so perfect,"I am using this for months and it works so flawless. It is very nice ,easy to hold and works well. NOt once have I placed any issue with this.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
200,Serving the purpose,Comes with Normal packageAnd working fine,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
201,Value for money,"Value for money, bought this for my kids online class.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
202,Out of this world.Awesome,Awesome ...One of the best i have ever used.Must buy. Just outstanding,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
203,Must buy,Had ordered to work from home for my laptop and using since a month is amazing and works smooth must buy this mouse if u are looking for one,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
204,Built Quality not expected. Lightweight but chip quality,Pahile ke mukable me quality thodi kam dikhne me acchhaa par paisa wasool ho jayega.,3.0,Dell MS116 1000DPI USB Wired Optical Mouse
205,Malfunction product,It didn't survive for one year...I purchased it in September 2019 but face malfunction in start of july2020...so it's bad product.,1.0,Dell MS116 1000DPI USB Wired Optical Mouse
206,Worth for money...........,Good looking and easy to hold make this mouse an attractive one..... I am satisfied with my purchase..🙂🙂🙂🙂🙂....truly satisfactory quality.......and it has a very very very smooth control...I reccomend you to buy this mouse 😀😀😀😀😀,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
207,Worst,"Stopped working in less than a month... Also, USB is not getting connected ... Money got spoilt .. don't ever buy this .. Even when I received this the package was open",1.0,Dell MS116 1000DPI USB Wired Optical Mouse
208,I'm HAPPY with the product performance,"Runs very smooth,Comfortable for holding for hours,Lightweight,Long wire,For gaming I set it for 800 dpi, it works very good at moderate mouse movements but for frequent movements it lags because it's 1000 dpi mouse,",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
209,Step wise scroll button..... Reducing a star for that!!,"It has gentle click sound and good finish. But the scroll button could have been better. Except that, best product at very cheap rate!!",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
210,Very good,Really fantastic product with less budget.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
211,Comfortable to use,"Pro's:1) I like the finish2) It's ergonomic and comfortable to use.3) Rubber scroll wheel gives a nice feedback while scrolling and also while clicking.Cons's:None, as of yet.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
212,Sahi hei boss,Perfectly designed to handle with all ease,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
213,Excellent product,Excellent product. Very fast delivery of the product by Amazon.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
214,Good product,Regulated movement,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
215,Logitech is the best option,"The mouse is okay, but I also used the logitech M90 wired mouse, in the same price range... Its more ergonomic shape and size and easy to hold. The best option in this price range is logitech M90",2.0,Dell MS116 1000DPI USB Wired Optical Mouse
216,Very good mouse for laptop/desktop,Good companion to laptop/desktop. Very smooth scroll function and easy to operate.,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
217,easy to use,fits to hand. check your hand size and see YouTube of its fits to you,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
218,Excellent product,"Only used for office work not for gaming.In the price i got it, it is a good deal. Plug n oly, lightweight, smooth movements.Overall functions really well and worth it.",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
219,Good product,As of now it is more comfortable to use and does not have any issues. Really a good product under this pricing,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
220,Affordable and good product,The product is very good. It's very smooth in operations. If someone need to have a descent mouse in affordable price go for this model.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
221,Best for portable use,Simple and elegant. Works really well for a basic mouse. Its portable and light.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
222,Worst product,"I brought two times, two times not worked..... I kept return but not taken",1.0,Dell MS116 1000DPI USB Wired Optical Mouse
223,Used product was delivered,"The media could not be loaded.
                




   I received a second hand mouse. It's working but it is an old product that was given to me. The seal was also broken.",1.0,Dell MS116 1000DPI USB Wired Optical Mouse
224,Good but not for serious gaming,Ther are no extra buttons so it's only good enough for casual use. You are better off buying something else if your are a serious gamer. For normal use it is very good.,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
225,Easy to handle Wired Mouse for a decent price,I am happy with my new mouse that I purchased for ₹ 299;  It is working cool and I am having a good time with this.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
226,Best mouse in this price range,It's very durable and easy to hold. Not great for gaming or 3d modelling but perfect for everything else. No pain in fingers even after several hours of usage.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
227,Good Budget Mouse,The Mouse is working fine after 1 month of usage. Am satisfied. Recommend others to purchase.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
228,VFM,It's pretty handy and real value for money,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
229,Stopped working in exactly an year!,Stopped working in exactly an year!,1.0,Dell MS116 1000DPI USB Wired Optical Mouse
230,Good quality mouse,"I am not a gamer, so can't comment on that, but for other tasks it's good",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
231,Good Quality,Good quality and using it for a month now with no issues,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
232,Great product,I think i dont have right review for dell. As it is one the best in market . I recived orders in less than 12 hrs.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
233,Best mouse,Best mouse under rupees three hundred,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
234,False description.. it's made in China while listing states India,Giving rating of 1 only because the description is misleading. They have mentioned country of origin as India in the Amazon listing while it's made in China. You guys should not lie like this and Amazon should take action,1.0,Dell MS116 1000DPI USB Wired Optical Mouse
235,Best among wired,"After trying many mouse,I can surely say that this one is best among the wired mouse.If you don't have any problem with a wired mouse,just go for it,you won't regret.The size is perfect and looks good too.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
236,Ok product,Mouse looks as well as give very plastic feeling and not a pleasant experience on every mouse click.,3.0,Dell MS116 1000DPI USB Wired Optical Mouse
237,Worth buying for office use,"It's goos product, was using wireless before and now using this one .",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
238,Economical long lasting mouse👍,"Looking mouse for laptop and earlier using bluetooth mouse, but battery issue was there. So this time gone with wired one. Everything is fine, however I feel cable could have been more sturdier.",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
239,Good one,"Generic mouse, can hold and handle it very comfortably. The scroller is smooth and can feel every step of scrolling. The key clicking is also serves a good feedback and clicking sound",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
240,Best in budget,Good for daily use and super cas gaming. Does the job and the best in price from a very reliable brand.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
241,A good one for the price,"It's a bit light and has a tapered front. This was a bit off for me personally as I am used to handling heavy mice. After 2-3 days of usage, it has grown into me and now I use this mouse comfortably.",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
242,Good basic mouse,Light weight. Does not strain wrist.,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
243,Up to the mark for light and simple uses,*Feels a bit large in hand.*Clicks aren’t that precise.*You won’t feel it in normal use.* NOT for GAMING*Go for it if you just need a simple use mouse which lasts really long.DELL quality in a really good price.👍🏻,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
244,Good Mouse,"After 4 Months Left Click Reacts As Right Click , Waiting For Replacement From Dell",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
245,Better than Logitech,"Smooth, easy to handle and move, no problems at all in slightly rough surface. I think it's better than Logitech.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
246,Affordable Price,Quality Good and easy to use. User friendly.,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
247,Nice product 👌,"The media could not be loaded.
                




   I like it",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
248,AWESOME,"Awesome product. I am using for my dell product. Till now, I didn't have any issues.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
249,Very good buy,Dell quality is the best. Satisfied with the purchase. Thanks Dell & Amazon,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
250,Value For Money,Dell mouse.Very Good Value For Money,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
251,nice mouse,bought for my office useall of the colleagues  love it. very excellent productrecommend to others. value for money,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
252,Awesome product from dell,I bought this after my hp mouse went slow. I expected far less than what i got.. Highly sensitive in any uniform surfaces and im so happy that i bought it,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
253,Awesome,"The media could not be loaded.
                




   Does what is is meant to do. For this price, it is awesome.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
254,Dell,"Light weight, easy to use,  good connectivity",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
255,"Good , smooth to use and worth it","Very good product , smooth to use , worth money",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
256,Great product,"Great product in this range which is from renowned brand Dell and also pocket friendly.It is stylish, easy to use and comfortable for daily use. It is not highly recommended for gaming purposes but its performance is also good for gaming.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
257,Honest Review! Value for money!,I'm writing this review after using this mouse for couple of months. I am a Software Professional and I would work 8 - 12 hours a day. I have been using this mouse since may 2021. It's working fine till now.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
258,Good product. Will recommend a friend to buy.,"Very good product, timely delivery.  The mouse is really nice.  I use it with my asus laptop.  Its really smooth.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
259,Value for money,"Dell products are always good. For the price, cannot ask for better",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
260,Nice mouse from old to new version of OS,Handy mouse with ergonomic design helps to hold the mouse for longer period of time.,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
261,Perfect price. Perfect product,Perfect product in the price range. Ergonomics is good. Designing Curve is comfortable. For Gaming amazing product. Easy to handle.,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
262,Good USB Mouse for desktop and laptop,Nice to work with although slightly large for small hands. Works on any flat surface.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
263,Decent mouse,A very decent compact mouse for this price. Works great,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
264,Good product,Good product got it urgently,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
265,Return policy is not good,It's not good for bigger hands and no return policy it's felt bad to use the product,3.0,Dell MS116 1000DPI USB Wired Optical Mouse
266,Awesome design,Very easy to hold and comfortable holding and operating .... completely ergonomic  .... completely recommended 👌,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
267,Value for money product.,Good product and easy to use.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
268,Is very soft usage,"It is a very good mouse, but it is designed for normal use only. No waste of money.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
269,Nice,The size and the length is perfect for daily office use.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
270,Dell is well,Light weight and feel lag free experience...,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
271,BEST PRODUCT,BEST PRODUCT,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
272,Good,"Good one, comfortable to use",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
273,nice product,nice product . got original,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
274,Average,The material used is not that good as compare to the other brand options.,1.0,Dell MS116 1000DPI USB Wired Optical Mouse
275,"Good product, decent price","overall the product is good, roller is smooth, pointer is precise, ergonomically could have been better making slightly more comfortable to hold.",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
276,Good quality,Worth the price and quality,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
277,Excellent Product !,In this rate you will not get better deal! Just click button noise is annoying!,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
278,High click noise quality mouse,"Makes considerable click noise, otherwise mose is very good.1 star less for high click noise.",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
279,after 6months,after a 4 to 5 months its started troubling its not working properly if we right click other options will come,1.0,Dell MS116 1000DPI USB Wired Optical Mouse
280,Good for price,Inexpensive and serves the purpose. Works as good as a normal mouse.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
281,nice product,this is a good product for its price.it is a basic mouse which does all its function effectively.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
282,Nice Dell Mouse,I have been using it last 1 year and it's much better than other brand mouse. Nice grip and comfortable. Go for it,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
283,Nice product,Comfortable to use the mouse,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
284,Nice mouse,Its a big mouse - the usual one. I wanted it this way. Nice one.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
285,Good product and its working,Good product and its working,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
286,Good product in wire segment,Good product in wire segment,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
287,Very smooth,Very good product very smoothly woorking,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
288,wheel not working in 4 months,"in just 4 months, the wheel is not working. i Don't know what l Dell products are getting compromised.",1.0,Dell MS116 1000DPI USB Wired Optical Mouse
289,Cheapest and the best,"If you are on a tight budget don't think much just buy it. And know what , the wire is way too long so don't hesitate to buy even if you have a desktop.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
290,Best Quality from Dell,"Good quality product as expected from Delll, good buy at ₹300",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
291,Very good mouse for everyday use,Very good mouse for everyday use without any hitch.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
292,Good mouse in budget wont recommend for gaming,I thought it would be great for gaming particularly CSGO but not good for gaming overall its a good mouse for office use and day to day use,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
293,in description it was made in US but when i saw the mouse it was china made,i liked the mouse it has a great sensor it has more sensitivity than by older mousebut i gave it 4 stars cuz its has a high clicking soundbut overall nice product by Dell,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
294,Nice for office and who needed a long cable usb mouse.,Best .it have long cable too.and perfect.easy to hold and use.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
295,Ideal for WFH,Its very light weight and suits the purpose. Its been month and no click issue faced till now.,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
296,Basic but Perfect!,"Simple and easy to use, budget friendly.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
297,Ergonomical. Elegant. Precise,Elegant. Precise and total value for money... the long length of the wire is the only hindrance for detail graphic work. But then all wired mouse have the same issue... worth the buy.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
298,best fit to the comfort,The ergonomics and the comfort of holding this is really awesome.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
299,One of the best mouse,Used for more than 6 months. Working best. No issues at all. Very good product in this range. Go for it,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
300,Extremely happy!!,"This mouse fits almost accurately and comfortably in my bigger palm. Very easy to connect and to begin working. The click, though, makes somewhat High-pitched sound.",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
301,Just go for it.,"My favourite mouse out there. Whichever ""gaming"" mouse can't beat it because it is in a league of it's own. Highly responsive and great to hold. Which are the qualities everyone look for.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
302,Good for office purpose....,No issues working fine...hassle free...good for long time use.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
303,Decent mouse,Preety decent mouse for everyday use,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
304,Vair for money,Very nice product as always,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
305,Faking Country of origin- Incorrect listing,"Incorrect listing as country of Origin India, but delivering a made in china product.",1.0,Dell MS116 1000DPI USB Wired Optical Mouse
306,DELL MS116 1000DPI USB OPTICAL MOUSE,"Nice mouse, this mouse comes with exact size in the sense that either not too much small nor big. Easy to hold, efficiency is good as well as a perfect mouse for gaming.",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
307,Good,Original product,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
308,Excellent product quality.... Great value for money,Very excellent product quality in this price range it's really Paisa Vasool must buy for daily rigid uses.....,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
309,Its very nice And good with orginal Dell packaging,Its very nice And good with orginal Dell packaging I am very happy to saw this mouse awesome thanks to Amazon its very easy to trust this App,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
310,Sturdy Product,Superb mouse very strong.Working well am using it for work daily 8 hours its working very well for me.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
311,Superb,Superb quality,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
312,Comfortable,For basic use go for it. No gaming and design,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
313,About Product,"I'm fully satisfied with product, the mouse is very smooth and fast and also it is cheaper than other products and come with 3 years warranty, this mouse is perfect go for it👍",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
314,Go for it ! If you're not buying this product for gaming.,"Superb product.  Nice working,  I am writing reviews after 3 months , till now it working perfectly.  Satisfied with this product.  I am giving not 5 star because it is little uncomfortable for gaming.",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
315,Compact and easy to hold,Cheap and best wired mouse I have found. I have been using this for gaming and found no issues.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
316,Best for regular task,This mouse is easy to hold and light weight and it is good for regular work. You can use in gaming but many new gaming mouse is available in market.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
317,A decent mouse,its a decent mouse felt it was a bit flat for my hand and didn't sit properly in my hand but works well. does what a mouse needs to do.,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
318,don’t buy,scroll button is very loose and making noise.. product quality as well is very cheap.. just for name sake it is dell.. but it doesn’t feel like you are using a dell product.. not at all satisfied.. i wanna return this..,1.0,Dell MS116 1000DPI USB Wired Optical Mouse
319,Stop working after 5 month as normal use,after use of only 5 month stop working of scroll,1.0,Dell MS116 1000DPI USB Wired Optical Mouse
320,It's over all good for the price I paid (Rs~ 279/- ),It's over all good for the price I paid (Rs~ 279,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
321,Good Value for money,This product is good for basic day to day usage.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
322,Donty buy these stop working after one week,After one week mouse stop working,1.0,Dell MS116 1000DPI USB Wired Optical Mouse
323,Good quality- solves the purpose,"Serves the purpose and seems to be good quality. For the price, it is a full value for money for day to day working",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
324,A little small then expected,"Product material is good, however its little small than expected.  Hardly able to fit my apple earphones.",3.0,Dell MS116 1000DPI USB Wired Optical Mouse
325,Quick response time,Quick response time,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
326,Qualify product,User friendly,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
327,Best mouse... No any issue,Thanks amazon,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
328,great product,product is of very good quality and feels good when using.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
329,Well enough,Big mouse for big hand ... Comfortable holding ...good product,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
330,Good product,Good product,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
331,Good,It's good...,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
332,It just works,Works like you would expect a mouse to. Scrolling is smooth. Clicks are easy to make. Cursor movement is seamless.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
333,Good product.,Good product.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
334,Nice,Nice working from 2 week,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
335,Left Click works as right click.,Mouse clicks gone wrong. Left click working as right click. Need serious testing to extend number of clicks. Dell needs serious UAT introspection.,1.0,Dell MS116 1000DPI USB Wired Optical Mouse
336,Trash...,Due to all the good reviews i went for it but its trash. Not for gaming at all.,1.0,Dell MS116 1000DPI USB Wired Optical Mouse
337,Fabulous,Easy to use.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
338,good for normal use but quality is just normal,good for normal use but quality is just normal,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
339,Pathetuc,The mouse just wont move smoothly! It's a pain to get the cursor moving. Pathetic product.,1.0,Dell MS116 1000DPI USB Wired Optical Mouse
340,Go for it,If you have bedugt then purchase wireless mouse.This mouse is also good and sturdy,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
341,Regular use only,Best for regular use,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
342,About Dell mouse,Since it's Dell's mouse I don't have to tell u all about product quality . It's amazingOnly bad point is that it's a little big mouse to handle this mouse is good for those whose palm is quite big enough,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
343,Value for money,"Good product, light weight and easy on pocket",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
344,Perfect for WFH,"Been using this same mouse for over 2 years, then was so impressed by performance that ordered the same mouse. It is about the perfect weight, and amazing hand positioning.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
345,Thumbs up,A really good product for a budget.Buy it only if you are going to use it for simple work not editing or gaming.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
346,Don't buy it's too hard to operate,The left and right buttons are too hard and that it fits if your Pam is small...Made in china according to their pam dimensions... Pls don't buy,1.0,Dell MS116 1000DPI USB Wired Optical Mouse
347,The best.,"I have been using this mouse for about a month, it's very comfortable and performance is very good.Compared to HP this mouse is far better. No lags observed",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
348,Good for day to day use,It's good for our office use. But not very good for gaming.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
349,5 star,This mouse is good for value for money and for work stuff onlyPlease dnt use as a gaming purposeOnly for work stuff5 star,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
350,Excellent product,Very good mouse,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
351,Great for the price I paid for it,It's comfortable to you use... It is for normal use not for gaming. Still you can. Play games using this mouse if you just play for fun or to burn time.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
352,Good,Good product,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
353,Good product,Good product. I got this for my pc and have been using it for a few months now. No problem at all.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
354,Value for money mouse!,Value for money 1000 dpi mouse. But not very sharp as a 1600 dpi wireless Targa mouse. No battery required. Also comes with 3 years warranty!!,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
355,SUBSTANDARD PRODUCT OF DELL MOUSE MODEL MS116,This is a substandard product MS116 DELL MOUSE the product was replaced immediately on delivery for non performance and now again I have problem with this model for not performing and not detected by my PC. this is a complain for  replacement of product being under 1 year warranty and bought on 3.8. 2019.,1.0,Dell MS116 1000DPI USB Wired Optical Mouse
356,China made product,Item is good but try to avoid selling chinese product. Better if you sell indian companies items which will give boost to our economy.,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
357,No problems,"Product, packing, price and delivery as expected/promised.  No problems.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
358,Quality is too good👍,Just go for it. It's too good.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
359,Good,Good one,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
360,Value for money,The mouse is ideal easy & comfortable. I am satisfied & liked it.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
361,"Over all a decent purchase , Go for it blindly",I hv been using it from past 15 days and mouse performance is magnificent...Good gripAll Buttons are working fine without any hasselJss go for it,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
362,Mouse,Quality ok,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
363,very good,very satisfied product delivered to me....... quality of mouse is very nice. comfortable to use.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
364,Quality product @ reasonable Rate,"Nice built quality its not like cheap plastic mouse which i was using. nice touch exact and precise, no accidental double click. Go for it.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
365,Superb mouse,It is compatible with all platformsEasy to holdVery smoothGood designPerfect mouse for every purpose,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
366,Just Good,"The buttons are hard, not a smooth mouse, scroll wheel little bit hard to scroll.On an average is good for office use and all.",3.0,Dell MS116 1000DPI USB Wired Optical Mouse
367,Worth the price,Worth the price,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
368,Best!,"Best!Yeah, the only word that comes to my mind. This product is awesome and it's price also!",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
369,Good at it's price,Good and cheep,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
370,Good For Work. Nice and simple. Easy to hold. Very Light weight,Good For Work. Nice and simple. Easy to hold. Very Light weight,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
371,Very good mouse at affordable price,Very comfortable to work with and sturdy,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
372,Best Mouse for drawing software uses..,I bought this mouse for drawing purpose and it's super good for that. Especially the mouse wheel design is so perfect for the drawing software use.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
373,Best Quality,Recommended..,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
374,Comfortable,Amazing productEast to useVery comfortableOverall good with good price👌,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
375,"Nice, value for money","Nice, value for money",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
376,Good within this price range,"I'm using it for 3 days.So far,it's good to me. Won't tell it awesome but you can buy it. For gaming I have no idea but I think it's not good for very quick action.For normal activity I suggest to buy.",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
377,Flimsy quality - clicks not registering,Left and right clicks not registering properly after 6 months of use,1.0,Dell MS116 1000DPI USB Wired Optical Mouse
378,Awesome in this price,Fast like rocket smooth like cream accurate like 3rd empire of match. GO like bullet train and purchase like kids choice.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
379,Very good,Good,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
380,Perfect mouse for longer usage,Works perfectly. fits perfectly in hand and 1000 dpi movement is very precise.Perfect for long term usage.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
381,Excellent product,"Fantastic product - fits within the palm quite well, no stress on the fingers.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
382,Product is good,Product is very good. Using this for couple of days. Working smooth as of now.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
